"Subject_Id","Group_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"5433","ped_side_av","PED_SIDE","AV","swerve","swerve","sidewalk","4v1","usa","10+","50-59","yes","1","male","ped"
"5433","ped_side_av","PED_SIDE","AV","stay","swerve","road","4v1","usa","10+","50-59","yes","1","male","ped"
"5433","ped_side_av","PED_SIDE","AV","swerve","swerve","sidewalk","3v1","usa","10+","50-59","yes","1","male","ped"
"5433","ped_side_av","PED_SIDE","AV","stay","swerve","road","1v1","usa","10+","50-59","yes","1","male","ped"
"5433","ped_side_av","PED_SIDE","AV","stay","swerve","sidewalk","2v1","usa","10+","50-59","yes","1","male","ped"
"5433","ped_side_av","PED_SIDE","AV","stay","swerve","sidewalk","1v1","usa","10+","50-59","yes","1","male","ped"
"5433","ped_side_av","PED_SIDE","AV","swerve","swerve","road","2v1","usa","10+","50-59","yes","1","male","ped"
"5932","car_h","CAR","HUMAN","stay","swerve","road","4v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","swerve","swerve","sidewalk","4v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","swerve","stay","sidewalk","1v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","stay","swerve","carsac","4v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","stay","swerve","carsac","1v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","swerve","swerve","carsac","3v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","swerve","swerve","road","2v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","swerve","swerve","carsac","2v1","germany","10+","18-29","yes","2","female","car"
"5932","car_h","CAR","HUMAN","stay","swerve","road","3v1","germany","10+","18-29","yes","2","female","car"
