"","Participant ID","Gender","AV/Car","Perspective","Scenario","Number of Children","Number of Adults 1","Number of Adults 2","Left First?","Selected Option","Difficulty of decision","Response time 1","Response time 2"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.475","859030904","True","False","2","0","1","1","3","True","Links","16","9.265579","2.875824"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.476","859030904","True","False","2","2","0","2","0","False","Links","50","2.293365","4.453491"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.477","859030904","True","False","2","1","0","2","4","True","Links","69","2.694427","3.63855"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.478","859030904","True","False","2","0","2","1","5","False","Links","19","4.608124","2.250183"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.479","859030904","True","False","2","1","0","1","2","True","Links","70","3.972046","5.309967"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.480","859030904","True","False","2","3","0","2","0","False","Rechts","64","3.464172","1.740906"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.481","499600613","False","False","3","0","0","1","5","True","Links","29","12.9557","9.428375"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.482","499600613","False","False","3","0","0","0","1","False","Rechts","63","2.427338","1.459717"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.483","499600613","False","False","3","0","1","1","3","True","Links","38","2.370789","3.494476"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.484","499600613","False","False","3","1","0","2","4","False","Rechts","61","4.152557","10.15561"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.485","499600613","False","False","3","1","0","1","2","True","Links","62","1.704163","4.383423"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.486","499600613","False","False","3","3","0","2","0","False","Links","50","7.610657","0.7889404"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.487","499600613","False","False","3","0","2","1","5","True","Rechts","34","2.440491","8.148743"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.488","499600613","False","False","3","2","0","2","0","False","Rechts","24","3.087402","5.926697"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.489","770615975","False","False","2","0","0","1","5","False","Rechts","47","6.238037","8.472595"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.490","770615975","False","False","2","0","0","0","1","True","Rechts","58","4.771851","7.659729"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.491","770615975","False","False","2","0","2","1","5","False","Links","58","5.059204","4.289734"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.492","770615975","False","False","2","1","0","1","2","True","Rechts","23","8.992859","8.208557"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.493","770615975","False","False","2","0","1","1","3","False","Links","45","5.940735","4.502991"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.494","770615975","False","False","2","2","0","2","0","True","Rechts","56","13.07141","6.185364"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.495","770615975","False","False","2","1","0","2","4","False","Rechts","35","1.439575","3.084473"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.496","770615975","False","False","2","3","0","2","0","True","Links","36","3.945068","2.477661"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.497","671108096","True","True","3","0","0","1","5","False","Rechts","80","7.578079","8.50769"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.498","671108096","True","True","3","0","0","0","1","True","Links","72","3.803574","4.014694"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.499","671108096","True","True","3","1","0","2","4","False","Rechts","53","1.633011","2.332077"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.500","671108096","True","True","3","2","0","2","0","True","Links","60","2.404724","1.783783"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.501","671108096","True","True","3","3","0","2","0","False","Rechts","79","1.558411","1.691925"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.502","671108096","True","True","3","0","1","1","3","True","Rechts","58","1.85788","2.296875"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.503","671108096","True","True","3","1","0","1","2","False","Rechts","42","1.045593","1.033081"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.504","671108096","True","True","3","0","2","1","5","True","Links","62","1.618225","3.642273"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.505","62073245","False","True","3","0","0","1","5","False","Rechts","92","21.75763","9.785217"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.506","62073245","False","True","3","0","0","0","1","True","Links","93","14.61011","6.22168"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.507","62073245","False","True","3","1","0","2","4","False","Links","89","8.60968","2.314148"
