"Subject_Id","Group_Name","Task_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","swerve","road","3v1","","","","","","",""
"3827","ped_side_h","questionnaire_h","PED_SIDE","HUMAN","","","","","","","","yes","5","male","car"
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","sidewalk","3v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","stay","sidewalk","1v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","carsac","2v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","carsac","4v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","stay","sidewalk","2v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","stay","road","1v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","carsac","3v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","sidewalk","4v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","stay","road","2v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","swerve","road","4v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","stay","stay","carsac","1v1","","","","","","",""
"3829","ped_main_h","ped_main_h_exp_trials","PED_MAIN","HUMAN","swerve","swerve","road","3v1","","","","","","",""
"3829","ped_main_h","questionnaire_h","PED_MAIN","HUMAN","","","","","","","","yes","4","male","car"
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","carsac","1v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","carsac","3v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","stay","swerve","sidewalk","3v1","","","","","","",""
"3830","ped_main_av","ped_main_av_exp_trials","PED_MAIN","AV","swerve","swerve","sidewalk","4v1","","","","","","",""
