"participant-ID","male","av/Car","perspective","passedSanCheck","perceivedCar","perceivedIden","confidence","trial","decision"
"CFM08","True","False","PedSmall","True","Mensch","Fußgänger","36","cityR","selfSacrifice"
"CDM06","False","True","Observer","True","Computer (AV)","Beobachter","19","mountain","selfSacrifice"
"CDM06","False","True","Observer","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"GNI09","False","False","Passenger","True","Computer (AV)","Beobachter","33","mountain","hitPedestrians"
"GNI09","False","False","Passenger","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"SSG07","False","False","Passenger","True","Computer (AV)","Mitfahrer","50","cityR","selfSacrifice"
"SSG07","False","False","Passenger","True","Computer (AV)","Mitfahrer","30","mountain","selfSacrifice"
"SHB07","True","True","Passenger","True","Computer (AV)","Beobachter","82","mountain","hitPedestrians"
"SHB07","True","True","Passenger","True","Computer (AV)","Beobachter","81","cityR","selfSacrifice"
"BFU06","True","True","PedSmall","True","Computer (AV)","Fußgänger","28","cityR","hitPedestrians"
"BFU06","True","True","PedSmall","True","Computer (AV)","Fußgänger","94","mountain","hitPedestrians"
"GHN08","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"GHN08","True","True","PedLarge","True","Computer (AV)","Fußgänger","0","mountain","hitPedestrians"
"INL05","False","False","PedLarge","True","Mensch","Beobachter","62","mountain","hitPedestrians"
"INL05","False","False","PedLarge","True","Mensch","Beobachter","33","cityR","selfSacrifice"
"MMG12","False","False","Observer","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"MMG12","False","False","Observer","True","Computer (AV)","Mitfahrer","23","mountain","selfSacrifice"
"JSE02","True","False","Observer","True","Mensch","Beobachter","66","cityR","selfSacrifice"
"JSE02","True","False","Observer","True","Mensch","Beobachter","92","mountain","selfSacrifice"
"MSW06","True","False","PedSmall","True","Mensch","Fußgänger","87","cityR","selfSacrifice"
"MSW06","True","False","PedSmall","True","Mensch","Fußgänger","100","mountain","selfSacrifice"
"URH09","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"URH09","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","mountain","selfSacrifice"
"ORK08","True","True","PedLarge","True","Computer (AV)","Beobachter","51","mountain","selfSacrifice"
"ORK08","True","True","PedLarge","True","Computer (AV)","Beobachter","31","cityR","selfSacrifice"
"MNB10","True","True","Observer","True","Mensch","Beobachter","100","mountain","selfSacrifice"
"MNB10","True","True","Observer","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"INS06","True","False","Observer","True","Mensch","Beobachter","68","mountain","selfSacrifice"
"INS06","True","False","Observer","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"BSH09","True","True","PedSmall","True","Computer (AV)","Fußgänger","87","mountain","hitPedestrians"
"BSH09","True","True","PedSmall","True","Computer (AV)","Fußgänger","88","cityR","hitPedestrians"
"AHN06","True","False","Observer","True","Mensch","Beobachter","100","mountain","selfSacrifice"
"AHN06","True","False","Observer","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"UHN05","False","False","PedSmall","True","Mensch","Fußgänger","100","cityR","selfSacrifice"
"UHN05","False","False","PedSmall","True","Mensch","Fußgänger","100","mountain","selfSacrifice"
"1","False","True","Passenger","True","Computer (AV)","Mitfahrer","72","cityR","selfSacrifice"
"1","False","True","Passenger","True","Computer (AV)","Mitfahrer","80","mountain","hitPedestrians"
"GIB11","False","False","PedLarge","False","Mensch","Beobachter","50","mountain","selfSacrifice"
"GIB11","False","False","PedLarge","False","Mensch","Beobachter","84","cityR","selfSacrifice"
"STN09","False","False","PedSmall","True","Computer (AV)","Mitfahrer","50","cityR","selfSacrifice"
"STN09","False","False","PedSmall","True","Computer (AV)","Mitfahrer","30","mountain","selfSacrifice"
"ATC06","True","True","Observer","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"ATC06","True","True","Observer","True","Mensch","Beobachter","100","mountain","selfSacrifice"
"UEG08","True","True","Passenger","False","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"UEG08","True","True","Passenger","False","Computer (AV)","Mitfahrer","79","mountain","selfSacrifice"
"AHF07","True","False","Passenger","True","Mensch","Mitfahrer","85","cityR","selfSacrifice"
"AHF07","True","False","Passenger","True","Mensch","Mitfahrer","84","mountain","selfSacrifice"
"GNM12","True","True","Observer","True","Computer (AV)","Mitfahrer","0","mountain","selfSacrifice"
"GNM12","True","True","Observer","True","Computer (AV)","Mitfahrer","0","cityR","hitPedestrians"
"MSS09","False","True","PedLarge","True","Computer (AV)","Fußgänger","60","cityR","selfSacrifice"
"MSS09","False","True","PedLarge","True","Computer (AV)","Fußgänger","50","mountain","hitPedestrians"
"NIO11","False","False","PedLarge","True","Computer (AV)","Beobachter","24","cityR","selfSacrifice"
"NIO11","False","False","PedLarge","True","Computer (AV)","Beobachter","34","mountain","selfSacrifice"
"ALA01","True","True","PedLarge","True","Computer (AV)","Fußgänger","85","mountain","selfSacrifice"
"ALA01","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"NSV02","False","True","Passenger","False","Mensch","Mitfahrer","100","cityR","hitPedestrians"
"NSV02","False","True","Passenger","False","Mensch","Mitfahrer","65","mountain","hitPedestrians"
"ASE12","True","False","PedSmall","True","Mensch","Fußgänger","100","cityR","selfSacrifice"
"ASE12","True","False","PedSmall","True","Mensch","Fußgänger","100","mountain","selfSacrifice"
"LAS03","True","True","PedLarge","True","Computer (AV)","Beobachter","85","mountain","hitPedestrians"
"LAS03","True","True","PedLarge","True","Computer (AV)","Beobachter","14","cityR","hitPedestrians"
"MFS06","True","False","Observer","True","Mensch","Fußgänger","63","mountain","selfSacrifice"
"MFS06","True","False","Observer","True","Mensch","Fußgänger","30","cityR","selfSacrifice"
"MRW09","True","True","PedSmall","True","Computer (AV)","Beobachter","51","mountain","selfSacrifice"
"MRW09","True","True","PedSmall","True","Computer (AV)","Beobachter","33","cityR","selfSacrifice"
"UZG02","False","True","Observer","True","Computer (AV)","Beobachter","85","mountain","selfSacrifice"
"UZG02","False","True","Observer","True","Computer (AV)","Beobachter","78","cityR","selfSacrifice"
"RMD07","False","False","PedLarge","False","Mensch","Beobachter","100","cityR","hitPedestrians"
"RMD07","False","False","PedLarge","False","Mensch","Beobachter","50","mountain","selfSacrifice"
"ESO08","False","True","PedLarge","True","Computer (AV)","Mitfahrer","73","cityR","selfSacrifice"
"ESO08","False","True","PedLarge","True","Computer (AV)","Mitfahrer","11","mountain","hitPedestrians"
"CTP04","True","True","Observer","True","Computer (AV)","Fußgänger","22","cityR","selfSacrifice"
"CTP04","True","True","Observer","True","Computer (AV)","Fußgänger","0","mountain","selfSacrifice"
"ADB06","False","False","PedSmall","True","Mensch","Beobachter","100","mountain","selfSacrifice"
"ADB06","False","False","PedSmall","True","Mensch","Beobachter","91","cityR","selfSacrifice"
"SOO09","True","True","PedLarge","True","Computer (AV)","Beobachter","100","cityR","hitPedestrians"
"SOO09","True","True","PedLarge","True","Computer (AV)","Beobachter","83","mountain","hitPedestrians"
"ATH09","True","False","PedLarge","True","Computer (AV)","Fußgänger","100","mountain","selfSacrifice"
"ATH09","True","False","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"EDN04","False","False","PedLarge","True","Mensch","Fußgänger","50","mountain","hitPedestrians"
"EDN04","False","False","PedLarge","True","Mensch","Fußgänger","53","cityR","selfSacrifice"
"RLF04","True","True","Observer","True","Computer (AV)","Fußgänger","73","cityR","selfSacrifice"
"RLF04","True","True","Observer","True","Computer (AV)","Fußgänger","6","mountain","hitPedestrians"
"HDB03","True","False","PedLarge","True","Computer (AV)","Beobachter","73","cityR","selfSacrifice"
"HDB03","True","False","PedLarge","True","Computer (AV)","Beobachter","84","mountain","selfSacrifice"
"ATH08","True","True","Observer","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"ATH08","True","True","Observer","True","Computer (AV)","Beobachter","48","mountain","selfSacrifice"
"BSK03","False","True","PedLarge","True","Computer (AV)","Fußgänger","82","mountain","hitPedestrians"
"BSK03","False","True","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"PRW01","True","False","PedSmall","True","Mensch","Fußgänger","23","mountain","selfSacrifice"
"PRW01","True","False","PedSmall","True","Mensch","Fußgänger","100","cityR","selfSacrifice"
"RDL03","False","False","PedLarge","True","Mensch","Beobachter","38","mountain","hitPedestrians"
"RDL03","False","False","PedLarge","True","Mensch","Beobachter","82","cityR","selfSacrifice"
"GNM07","False","False","Passenger","True","Computer (AV)","Mitfahrer","0","mountain","hitPedestrians"
"GNM07","False","False","Passenger","True","Computer (AV)","Mitfahrer","35","cityR","selfSacrifice"
"PVG05","False","True","PedSmall","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"PVG05","False","True","PedSmall","True","Computer (AV)","Fußgänger","18","mountain","selfSacrifice"
"ANG04","False","False","PedSmall","True","Mensch","Fußgänger","46","mountain","selfSacrifice"
"ANG04","False","False","PedSmall","True","Mensch","Fußgänger","100","cityR","selfSacrifice"
"GSM03","True","True","Passenger","True","Computer (AV)","Mitfahrer","67","cityR","hitPedestrians"
"GSM03","True","True","Passenger","True","Computer (AV)","Mitfahrer","100","mountain","hitPedestrians"
"MRI02","True","True","Passenger","True","Computer (AV)","Mitfahrer","15","mountain","selfSacrifice"
"MRI02","True","True","Passenger","True","Computer (AV)","Mitfahrer","73","cityR","selfSacrifice"
"UDW08","True","True","PedSmall","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"UDW08","True","True","PedSmall","True","Computer (AV)","Beobachter","100","mountain","selfSacrifice"
"ILG08","False","True","Observer","True","Computer (AV)","Beobachter","81","cityR","selfSacrifice"
"ILG08","False","True","Observer","True","Computer (AV)","Beobachter","22","mountain","selfSacrifice"
"CDN09","False","True","Observer","True","Computer (AV)","Beobachter","50","cityR","selfSacrifice"
"CDN09","False","True","Observer","True","Computer (AV)","Beobachter","18","mountain","selfSacrifice"
"CHT12","False","True","Passenger","True","Computer (AV)","Mitfahrer","67","mountain","selfSacrifice"
"CHT12","False","True","Passenger","True","Computer (AV)","Mitfahrer","69","cityR","selfSacrifice"
"DDG05","False","True","Observer","True","Computer (AV)","Beobachter","83","cityR","selfSacrifice"
"DDG05","False","True","Observer","True","Computer (AV)","Beobachter","22","mountain","hitPedestrians"
"GNN01","False","False","Observer","True","Computer (AV)","Fußgänger","84","cityR","selfSacrifice"
"GNN01","False","False","Observer","True","Computer (AV)","Fußgänger","22","mountain","hitPedestrians"
"KSS05","False","True","PedLarge","False","Computer (AV)","Beobachter","41","mountain","selfSacrifice"
"KSS05","False","True","PedLarge","False","Computer (AV)","Beobachter","64","cityR","selfSacrifice"
"JWB12","False","False","Observer","True","Computer (AV)","Beobachter","28","mountain","selfSacrifice"
"JWB12","False","False","Observer","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"MFW10","False","True","PedSmall","True","Computer (AV)","Fußgänger","26","mountain","hitPedestrians"
"MFW10","False","True","PedSmall","True","Computer (AV)","Fußgänger","41","cityR","selfSacrifice"
"CGM11","False","True","Observer","True","Computer (AV)","Beobachter","65","cityR","selfSacrifice"
"CGM11","False","True","Observer","True","Computer (AV)","Beobachter","60","mountain","selfSacrifice"
"ESK09","False","True","Passenger","True","Computer (AV)","Mitfahrer","14","mountain","hitPedestrians"
"ESK09","False","True","Passenger","True","Computer (AV)","Mitfahrer","29","cityR","selfSacrifice"
"GÖA04","False","True","Passenger","True","Computer (AV)","Mitfahrer","43","mountain","hitPedestrians"
"GÖA04","False","True","Passenger","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"SRH12","True","True","Passenger","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"SRH12","True","True","Passenger","True","Computer (AV)","Mitfahrer","24","mountain","hitPedestrians"
"MJM09","False","False","PedSmall","True","Mensch","Fußgänger","10","mountain","hitPedestrians"
"MJM09","False","False","PedSmall","True","Mensch","Fußgänger","0","cityR","hitPedestrians"
"UAB25","False","False","Observer","True","Mensch","Beobachter","100","mountain","selfSacrifice"
"UAB25","False","False","Observer","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"SLP10","True","True","Observer","True","Computer (AV)","Beobachter","38","cityR","selfSacrifice"
"SLP10","True","True","Observer","True","Computer (AV)","Beobachter","37","mountain","selfSacrifice"
"MMD12","True","True","Passenger","True","Computer (AV)","Mitfahrer","50","mountain","hitPedestrians"
"MMD12","True","True","Passenger","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"CSE03","True","True","Observer","True","Mensch","Beobachter","61","mountain","selfSacrifice"
"CSE03","True","True","Observer","True","Mensch","Beobachter","28","cityR","selfSacrifice"
"MTG05","False","True","PedLarge","True","Computer (AV)","Beobachter","28","mountain","selfSacrifice"
"MTG05","False","True","PedLarge","True","Computer (AV)","Beobachter","58","cityR","selfSacrifice"
"ISK06","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","mountain","selfSacrifice"
"ISK06","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"SDP07","True","True","PedSmall","True","Computer (AV)","Fußgänger","97","cityR","selfSacrifice"
"SDP07","True","True","PedSmall","True","Computer (AV)","Fußgänger","89","mountain","hitPedestrians"
"ALD05","True","False","Observer","True","Mensch","Beobachter","78","cityR","selfSacrifice"
"ALD05","True","False","Observer","True","Mensch","Beobachter","67","mountain","selfSacrifice"
"MSO05","True","True","PedSmall","True","Computer (AV)","Fußgänger","73","cityR","selfSacrifice"
"MSO05","True","True","PedSmall","True","Computer (AV)","Fußgänger","68","mountain","hitPedestrians"
"UAH01","False","False","PedLarge","True","Mensch","Beobachter","21","cityR","selfSacrifice"
"UAH01","False","False","PedLarge","True","Mensch","Beobachter","28","mountain","hitPedestrians"
"BDE11","True","False","PedLarge","True","Mensch","Fußgänger","26","cityR","hitPedestrians"
"BDE11","True","False","PedLarge","True","Mensch","Fußgänger","28","mountain","hitPedestrians"
"MRM03","False","True","Passenger","True","Computer (AV)","Mitfahrer","38","cityR","selfSacrifice"
"MRM03","False","True","Passenger","True","Computer (AV)","Mitfahrer","22","mountain","hitPedestrians"
"ANV01","False","True","PedSmall","True","Computer (AV)","Fußgänger","89","mountain","selfSacrifice"
"ANV01","False","True","PedSmall","True","Computer (AV)","Fußgänger","86","cityR","selfSacrifice"
"UNT11","False","True","Passenger","True","Computer (AV)","Mitfahrer","62","mountain","hitPedestrians"
"UNT11","False","True","Passenger","True","Computer (AV)","Mitfahrer","69","cityR","selfSacrifice"
"CDG06","True","False","PedSmall","True","Mensch","Fußgänger","100","mountain","hitPedestrians"
"CDG06","True","False","PedSmall","True","Mensch","Fußgänger","100","cityR","selfSacrifice"
"RMC01","True","True","PedLarge","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"RMC01","True","True","PedLarge","True","Computer (AV)","Beobachter","34","mountain","hitPedestrians"
"DMO09","True","False","PedSmall","True","Mensch","Beobachter","100","mountain","selfSacrifice"
"DMO09","True","False","PedSmall","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"EUH11","False","True","PedLarge","True","Computer (AV)","Fußgänger","100","mountain","selfSacrifice"
"EUH11","False","True","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"GLF06","False","True","Observer","True","Computer (AV)","Beobachter","100","mountain","selfSacrifice"
"GLF06","False","True","Observer","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"CNP09","True","False","PedLarge","True","Mensch","Fußgänger","100","cityR","selfSacrifice"
"CNP09","True","False","PedLarge","True","Mensch","Fußgänger","17","mountain","selfSacrifice"
"KSS05","False","True","PedSmall","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"KSS05","False","True","PedSmall","True","Computer (AV)","Beobachter","8","mountain","selfSacrifice"
"POM09","False","False","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"POM09","False","False","PedLarge","True","Computer (AV)","Fußgänger","0","mountain","selfSacrifice"
"IRB03","False","False","Passenger","True","Mensch","Beobachter","65","cityR","selfSacrifice"
"IRB03","False","False","Passenger","True","Mensch","Beobachter","17","mountain","selfSacrifice"
"MSO01","True","False","PedLarge","True","Mensch","Fußgänger","100","mountain","selfSacrifice"
"MSO01","True","False","PedLarge","True","Mensch","Fußgänger","66","cityR","selfSacrifice"
"BFH07","False","True","Passenger","True","Computer (AV)","Beobachter","74","cityR","selfSacrifice"
"BFH07","False","True","Passenger","True","Computer (AV)","Beobachter","73","mountain","hitPedestrians"
"BRW07","False","False","PedSmall","True","Mensch","Fußgänger","87","cityR","selfSacrifice"
"BRW07","False","False","PedSmall","True","Mensch","Fußgänger","64","mountain","hitPedestrians"
"GDB01","True","False","Observer","True","Mensch","Beobachter","84","mountain","selfSacrifice"
"GDB01","True","False","Observer","True","Mensch","Beobachter","100","cityR","selfSacrifice"
"CRO11","True","True","PedLarge","True","Computer (AV)","Fußgänger","37","mountain","selfSacrifice"
"CRO11","True","True","PedLarge","True","Computer (AV)","Fußgänger","60","cityR","selfSacrifice"
"AKV18","False","False","PedSmall","True","Mensch","Fußgänger","39","mountain","selfSacrifice"
"AKV18","False","False","PedSmall","True","Mensch","Fußgänger","4","cityR","hitPedestrians"
"ETO09","True","False","PedLarge","True","Mensch","Fußgänger","87","mountain","selfSacrifice"
"ETO09","True","False","PedLarge","True","Mensch","Fußgänger","82","cityR","selfSacrifice"
"FRB08","True","True","Passenger","True","Computer (AV)","Fußgänger","39","mountain","hitPedestrians"
"FRB08","True","True","Passenger","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"SVK04","False","True","Observer","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"SVK04","False","True","Observer","True","Computer (AV)","Mitfahrer","94","mountain","selfSacrifice"
"BEH10","False","True","PedSmall","True","Computer (AV)","Beobachter","76","mountain","selfSacrifice"
"BEH10","False","True","PedSmall","True","Computer (AV)","Beobachter","64","cityR","selfSacrifice"
"END04","True","False","PedSmall","True","Mensch","Beobachter","77","cityR","selfSacrifice"
"END04","True","False","PedSmall","True","Mensch","Beobachter","81","mountain","hitPedestrians"
"KSR08","True","True","PedSmall","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"KSR08","True","True","PedSmall","True","Computer (AV)","Beobachter","89","mountain","selfSacrifice"
"ERS02","True","False","Passenger","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"ERS02","True","False","Passenger","True","Computer (AV)","Mitfahrer","72","mountain","hitPedestrians"
"KSW06","False","False","PedLarge","True","Mensch","Fußgänger","20","cityR","selfSacrifice"
"KSW06","False","False","PedLarge","True","Mensch","Fußgänger","89","mountain","hitPedestrians"
"MDO06","True","True","Observer","True","Mensch","Fußgänger","68","cityR","selfSacrifice"
"MDO06","True","True","Observer","True","Mensch","Fußgänger","18","mountain","selfSacrifice"
"GNM06","True","True","Passenger","True","Mensch","Beobachter","90","cityR","selfSacrifice"
"GNM06","True","True","Passenger","True","Mensch","Beobachter","87","mountain","selfSacrifice"
"MRR05","True","True","Observer","True","Computer (AV)","Beobachter","50","mountain","hitPedestrians"
"MRR05","True","True","Observer","True","Computer (AV)","Beobachter","23","cityR","selfSacrifice"
"VDG09","True","False","PedSmall","True","Mensch","Beobachter","63","cityR","hitPedestrians"
"VDG09","True","False","PedSmall","True","Mensch","Beobachter","68","mountain","hitPedestrians"
"UJB05","False","False","Observer","True","Mensch","Beobachter","38","cityR","selfSacrifice"
"UJB05","False","False","Observer","True","Mensch","Beobachter","22","mountain","hitPedestrians"
"ASS09","False","True","PedSmall","True","Computer (AV)","Fußgänger","27","cityR","selfSacrifice"
"ASS09","False","True","PedSmall","True","Computer (AV)","Fußgänger","0","mountain","hitPedestrians"
"BHL11","True","False","Passenger","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"BHL11","True","False","Passenger","True","Computer (AV)","Mitfahrer","72","mountain","hitPedestrians"
"GTH10","True","True","PedSmall","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"GTH10","True","True","PedSmall","True","Computer (AV)","Beobachter","18","mountain","selfSacrifice"
"BNL12","False","True","PedLarge","True","Computer (AV)","Fußgänger","50","mountain","hitPedestrians"
"BNL12","False","True","PedLarge","True","Computer (AV)","Fußgänger","50","cityR","selfSacrifice"
"RIO02","False","False","Observer","True","Mensch","Beobachter","69","mountain","hitPedestrians"
"RIO02","False","False","Observer","True","Mensch","Beobachter","69","cityR","selfSacrifice"
"CSS02","True","False","PedLarge","True","Computer (AV)","Fußgänger","69","mountain","selfSacrifice"
"CSS02","True","False","PedLarge","True","Computer (AV)","Fußgänger","73","cityR","selfSacrifice"
"MPW07","False","False","Passenger","False","Mensch","Mitfahrer","80","mountain","hitPedestrians"
"MPW07","False","False","Passenger","False","Mensch","Mitfahrer","100","cityR","selfSacrifice"
"MDI04","False","False","PedSmall","True","Mensch","Beobachter","21","mountain","hitPedestrians"
"MDI04","False","False","PedSmall","True","Mensch","Beobachter","80","cityR","selfSacrifice"
"KFD05","True","False","PedSmall","True","Computer (AV)","Fußgänger","68","cityR","selfSacrifice"
"KFD05","True","False","PedSmall","True","Computer (AV)","Fußgänger","19","mountain","selfSacrifice"
"PBD01","True","False","Passenger","True","Mensch","Beobachter","100","mountain","selfSacrifice"
"PBD01","True","False","Passenger","True","Mensch","Beobachter","50","cityR","hitPedestrians"
"SSV11","False","False","Observer","True","Computer (AV)","Mitfahrer","100","cityR","selfSacrifice"
"SSV11","False","False","Observer","True","Computer (AV)","Mitfahrer","0","mountain","hitPedestrians"
"DNJ09","True","False","Observer","True","Computer (AV)","Beobachter","0","mountain","hitPedestrians"
"DNJ09","True","False","Observer","True","Computer (AV)","Beobachter","81","cityR","selfSacrifice"
"YVZ10","True","True","Observer","True","Mensch","Mitfahrer","56","cityR","selfSacrifice"
"YVZ10","True","True","Observer","True","Mensch","Mitfahrer","100","mountain","selfSacrifice"
"ARB02","True","False","Passenger","True","Computer (AV)","Beobachter","16","mountain","selfSacrifice"
"ARB02","True","False","Passenger","True","Computer (AV)","Beobachter","71","cityR","selfSacrifice"
"GFB02","True","False","PedSmall","True","Computer (AV)","Fußgänger","63","mountain","hitPedestrians"
"GFB02","True","False","PedSmall","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"PAH09","False","True","PedSmall","True","Mensch","Fußgänger","34","mountain","selfSacrifice"
"PAH09","False","True","PedSmall","True","Mensch","Fußgänger","68","cityR","selfSacrifice"
"HCS08","True","False","Passenger","True","Computer (AV)","Beobachter","10","mountain","hitPedestrians"
"HCS08","True","False","Passenger","True","Computer (AV)","Beobachter","100","cityR","selfSacrifice"
"ACS23","True","True","PedSmall","True","Computer (AV)","Fußgänger","100","mountain","hitPedestrians"
"ACS23","True","True","PedSmall","True","Computer (AV)","Fußgänger","35","cityR","selfSacrifice"
"ARC09","False","True","Observer","True","Computer (AV)","Beobachter","24","mountain","hitPedestrians"
"ARC09","False","True","Observer","True","Computer (AV)","Beobachter","91","cityR","selfSacrifice"
"BDB10","False","True","PedSmall","True","Computer (AV)","Fußgänger","15","mountain","selfSacrifice"
"BDB10","False","True","PedSmall","True","Computer (AV)","Fußgänger","32","cityR","selfSacrifice"
"KTN03","True","True","Observer","True","Computer (AV)","Mitfahrer","36","cityR","hitPedestrians"
"KTN03","True","True","Observer","True","Computer (AV)","Mitfahrer","5","mountain","hitPedestrians"
"KPR03","False","True","Passenger","True","Computer (AV)","Mitfahrer","50","cityR","hitPedestrians"
